Bexley,Robbery,204,209,376,318,171,286,308,232,269
Islington,Robbery,840,934,1568,1496,978,1790,1181,1160,945
Waltham Forest,Robbery,717,604,839,982,647,813,733,1359,985
Barnet,Robbery,564,464,1292,737,623,643,929,1147,805
Tower Hamlets,Robbery,1111,1233,1433,1520,1109,1470,991,1367,1259
Enfield,Robbery,768,807,1687,1219,940,983,1084,1124,936
Ealing,Robbery,647,671,1289,845,636,849,873,1236,912
Merton,Robbery,285,283,431,389,261,356,396,566,440
Kensington and Chelsea,Robbery,456,522,962,714,408,656,583,645,537
Croydon,Robbery,973,1140,1140,1080,729,1160,931,1941,1700
Kingston upon Thames,Robbery,107,120,355,241,109,177,220,237,156
Southwark,Robbery,1279,1318,2423,1780,1220,1793,1509,2526,2267
Bromley,Robbery,390,369,506,443,363,603,496,596,576
Lewisham,Robbery,787,869,1239,1037,811,1006,941,1302,1271
Sutton,Robbery,202,165,282,321,163,265,248,301,247
Wandsworth,Robbery,601,610,878,849,450,746,765,1202,946
