Brent,Miscellaneous Crimes Against Society,276,316,348,368,280,355,406,283,275
Bexley,Miscellaneous Crimes Against Society,167,218,242,209,296,228,247,167,165
Newham,Vehicle Offences,3712,4228,4408,5135,3752,4799,3916,4283,4283
Haringey,Arson and Criminal Damage,2097,2174,1810,2002,2080,2097,1769,2154,1834
Waltham Forest,Theft,4874,4853,5083,5052,4707,4816,4666,5826,5445
Hammersmith and Fulham,Arson and Criminal Damage,1332,1372,1319,1206,1431,1328,1125,1449,1177
Richmond upon Thames,Drug Offences,457,324,358,277,399,380,629,529,627
Kingston upon Thames,Burglary,994,880,996,975,928,1144,857,1375,1191
Havering,Theft,3670,3910,3961,3768,3779,4043,3137,3819,3683
Havering,Burglary,2124,1828,1886,1949,1941,2256,1290,2819,2483
Wandsworth,Miscellaneous Crimes Against Society,271,294,287,321,333,296,349,227,253
Islington,Drug Offences,1313,1792,1321,1269,1390,1422,1531,1710,1413
Harrow,Burglary,1834,1995,2056,1939,1671,2051,1350,2518,2100
Haringey,Miscellaneous Crimes Against Society,233,342,365,367,281,316,380,161,184
Richmond upon Thames,Theft,2872,2938,2986,2957,2829,3163,2502,3227,3089
Hammersmith and Fulham,Miscellaneous Crimes Against Society,299,350,289,256,287,320,247,271,261
Richmond upon Thames,Vehicle Offences,1576,1836,2323,2220,1447,2324,2287,1769,1405
Newham,Drug Offences,1723,1718,3030,2103,1680,2154,2967,1863,1623
Wandsworth,Vehicle Offences,3494,4184,4135,3989,3089,3910,3606,4319,3674
Southwark,Drug Offences,2733,1866,2641,1928,2273,2140,2334,2448,2678
Hammersmith and Fulham,Theft,6336,5953,6632,6331,6162,6073,4890,7743,6662
Croydon,Vehicle Offences,3115,3273,5015,4143,3245,3528,5006,4107,3596
Hammersmith and Fulham,Vehicle Offences,2550,2945,3306,2819,2776,3399,2267,2964,2317
Sutton,Arson and Criminal Damage,1229,1290,1135,1159,1285,1210,944,1342,1209
Westminster,Drug Offences,2808,2084,3340,1916,2107,2316,3217,4683,4173
Croydon,Arson and Criminal Damage,2757,3116,2428,2531,2994,3033,2430,3045,2777
Wandsworth,Drug Offences,888,885,942,701,719,840,1524,1049,1074
Brent,Theft,5336,5931,5588,5879,5490,6208,4573,5386,5020
Croydon,Drug Offences,1870,1392,2443,1672,1572,1670,2766,2371,2100
Newham,Miscellaneous Crimes Against Society,370,512,589,597,460,532,494,292,284
Enfield,Vehicle Offences,3082,3250,6026,5588,3176,3992,5811,3957,4319
Lewisham,Theft,4892,5060,5476,4878,4880,4864,4633,5820,4829
Sutton,Burglary,1402,1235,1365,1181,1280,1130,1026,1538,1430
Hackney,Drug Offences,1299,1385,1710,1467,1318,1258,1694,2216,1896
Hillingdon,Vehicle Offences,2932,2912,4533,4646,2740,4233,4063,3057,2491
Wandsworth,Burglary,2678,2350,2718,2753,2392,2383,2290,3424,3098
Bromley,Miscellaneous Crimes Against Society,245,315,298,282,258,329,361,233,197
Southwark,Miscellaneous Crimes Against Society,298,342,397,380,310,348,361,329,308
Kingston upon Thames,Vehicle Offences,741,839,1452,1370,698,1358,1118,875,751
Redbridge,Arson and Criminal Damage,1574,1586,1489,1548,1556,1764,1416,1692,1459
Westminster,Miscellaneous Crimes Against Society,429,454,375,389,432,462,349,376,472
Enfield,Miscellaneous Crimes Against Society,315,316,394,429,316,337,446,199,250
